x,y,z,x_quat,y_quat,z_quat,w_quat,target_velocity
89617.790111,43150.306159,0,0,0,0.699455895980281,0.71467576534987,12
89616.121846,43152.737329,0,0,0,0.85527889086111,0.518167944635125,12
89614.224983,43154.584493,0,0,0,0.855457772814887,0.517872570166246,12
89612.681638,43156.444817,0,0,0,0.882001167353983,0.471247218332598,12
89612.106191,43158.51581,0,0,0,0.909974102357047,0.414665085387577,12
89612.535764,43160.246172,0,0,0,0.931912011641939,0.36268443936496,12
89613.513258,43162.236784,0,0,0,0.899435514472461,0.437053492499098,10.271
89614.806556,43164.200864,0,0,0,0.904818453502284,0.425797564814238,10.271
89616.671444,43166.280302,0,0,0,0.909044983462813,0.41669799380498,10.271
89619.1362,43166.683552,0,0,0,0.911256662667885,0.411838918441894,10.271
89621.287414,43165.615472,0,0,0,0.906128212474729,0.423003147219205,10.271
89623.762987,43164.172418,0,0,0,0.896158740162825,0.443733605251821,10.271
89625.638795,43162.161056,0,0,0,0.910750913033808,0.412956141022367,10.271
89626.829152,43159.48509,0,0,0,0.926642990166551,0.375942507273642,10.271
89628.310616,43156.146768,0,0,0,0.941253485813917,0.337700866808408,10.271
89629.853822,43152.762,0,0,0,0.845594057206342,0.533826460956478,10.271
89631.637927,43149.204252,0,0,0,0.678017572458078,0.735045693435486,10.271
89633.242402,43145.812862,0,0,0,0.56309821114522,0.826389983364424,10.271
89634.376234,43142.352899,0,0,0,0.328682958251004,0.944440317307223,10.271
89636.3044,43139.783998,0,0,0,0.129382570073021,0.991594751176759,12
89638.855232,43138.263862,0,0,0,-0.0738566810990155,0.997268865781459,12
89642.008422,43138.035209,0,0,0,-0.257590954040813,0.966254055824007,12
89645.17356,43138.133174,0,0,0,-0.307612637606732,0.951511673698557,12
89647.12391,43140.029049,0,0,0,-0.285238674580209,0.958456518848782,12
89647.591439,43142.508905,0,0,0,-0.163097074817725,0.986610026396398,12
89647.528355,43144.761675,0,0,0,-0.0102366879383776,0.999947603737342,12
89646.285098,43146.518581,0,0,0,0.0930897129331241,0.995657724996913,12
89644.656606,43148.402332,0,0,0,0.178075061283055,0.984016906637806,12
89642.366492,43151.075827,0,0,0,0.241110878816529,0.970497575533459,9.271
89639.613169,43154.402398,0,0,0,0.23397509288614,0.97224259107947,9.271
89637.043013,43157.784742,0,0,0,0.197507792253709,0.980301316942431,9.271
89634.901856,43160.772088,0,0,0,0.0563639652051718,0.998410288121246,9.271
89632.550719,43163.964014,0,0,0,-0.145469166069609,0.989362785697447,9.271
89630.283276,43167.004762,0,0,0,-0.422610348513575,0.906311476993001,9.271
89628.084483,43169.803457,0,0,0,-0.614219547242268,0.789135189803055,9.271
89626.062659,43172.495863,0,0,0,-0.723010137191984,0.690837420467094,9.271
89623.850801,43175.388501,0,0,0,-0.883558475019075,0.468320852858344,9.271
89621.33037,43178.751828,0,0,0,-0.980174738905994,0.198135007534171,9.271
89619.683863,43182.120567,0,0,0,-0.997178121084941,0.0750719310362241,9.271
89620.985951,43185.104033,0,0,0,-0.997253919602884,0.0740582192378701,9.271
89623.329111,43186.626448,0,0,0,-0.999402657125303,0.0345590643809229,9.271
89626.292269,43187.405549,0,0,0,-0.983460130958662,0.18112473827385,9.271
89629.277608,43187.487327,0,0,0,-0.94713302688933,0.320841127936329,9.271
89631.737549,43186.625356,0,0,0,-0.835951507584793,0.548803313552962,9.271
89634.075667,43185.147685,0,0,0,-0.642320512263706,0.766436141844375,9.271
89636.925665,43183.268523,0,0,0,-0.476305594603194,0.879279807882393,9.271
89640.331217,43180.880664,0,0,0,-0.402600725892237,0.915375690911138,9.271
89643.710292,43179.310159,0,0,0,-0.212259155361099,0.977213411167383,9.271
89646.537748,43180.756346,0,0,0,-0.195737555375083,0.980656315645694,9.271
89649.413785,43183.428476,0,0,0,-0.0527849396953557,0.998605903317899,9.271
89653.073954,43186.864096,0,0,0,0.141186123044819,0.989983069885326,9.271
89657.433156,43190.112311,0,0,0,0.351020823749373,0.936367652844924,9.271
89661.519491,43188.084518,0,0,0,0.535490075291626,0.844541520154083,9.271
89663.314801,43183.26478,0,0,0,0.511027774299131,0.859564199984432,9.271
89663.245428,43178.690706,0,0,0,0.424724845529993,0.905322487067191,9.271
89659.58648,43176.450207,0,0,0,0.11221051395473,0.993684457238824,9.271
89655.289107,43174.73881,0,0,0,-0.230743626417034,0.97301458307053,9.271
89650.95204,43173.130102,0,0,0,-0.323006029562265,0.946396906623443,9.271
89648.049177,43170.697177,0,0,0,-0.424476164416975,0.905439112167048,9.271
89646.720392,43166.936237,0,0,0,-0.5091040737698,0.860704968076166,9.271
89647.530976,43163.112733,0,0,0,-0.601334626432114,0.798997288514642,9.271
89651.230861,43161.501153,0,0,0,-0.706173777574818,0.70803855535254,9.271
89655.476932,43160.249305,0,0,0,-0.808032485559767,0.589137931455872,9.271
89659.314217,43161.142488,0,0,0,-0.885312120598858,0.464997257111,9.271
89661.421715,43164.391276,0,0,0,-0.940498371707616,0.339798194249649,9.271
89663.964898,43167.534505,0,0,0,-0.973919825837032,0.226892425703382,9.271
89667.426207,43169.063143,0,0,0,-0.989184995187177,0.146673260332427,9.271
89670.731295,43170.343411,0,0,0,-0.997181276469879,0.0750300063834689,9.271
89673.610504,43169.60744,0,0,0,-0.996142729279975,0.0877477230624392,9.271
89675.889927,43167.713668,0,0,0,-0.996104056594739,0.0881856475595984,9.271
89677.281714,43165.446769,0,0,0,-0.919540658824508,0.392994881351641,9.271
89678.415761,43162.274379,0,0,0,-0.825806568617472,0.563953465481184,9.271
89679.599184,43158.181195,0,0,0,-0.795062751818814,0.606527180487647,9.271
89678.308756,43154.542935,0,0,0,-0.721722768504304,0.692182234258062,9.271
89675.811388,43150.868147,0,0,0,-0.66703400498183,0.745027272116867,9.271
89672.657109,43147.357815,0,0,0,-0.717595458926811,0.696460162053523,9.271
89668.210173,43147.568404,0,0,0,-0.771431659120066,0.636312183843169,9.271
89663.583379,43147.928751,0,0,0,-0.882999566020554,0.469373802429912,9.271
89659.810532,43146.490957,0,0,0,-0.910139675308015,0.4143015464975,9.271
89657.608114,43143.136037,0,0,0,-0.99261494360928,0.121307764481692,9.271
89656.456151,43139.052489,0,0,0,-0.999903916664429,0.0138620863917891,9.271
89657.3711,43135.0272,0,0,0,0.999676653137576,0.0254281177371751,12
89657.640765,43130.506808,0,0,0,0.988137541270794,0.153571480201601,12
89655.163101,43126.708414,0,0,0,0.9922677217553,0.124115947253152,12
89652.242037,43122.393219,0,0,0,0.949756788132027,0.312988887018592,12
89648.191932,43120.433312,0,0,0,0.923158155917782,0.384420367777878,12
89643.685004,43121.309611,0,0,0,0.905277654347724,0.424820395624648,12
89638.719076,43122.361733,0,0,0,0.894857668643071,0.446351602294298,12
89633.432095,43127.583127,0,0,0,0.890873539370615,0.454251402693788,12
